month,full_name,pay_amount,previous_month_pay,difference
2007-02-01T00:00:00.000Z,Clara Shaw,22.94,,
2007-03-01T00:00:00.000Z,Clara Shaw,72.84,22.94,49.90
2007-04-01T00:00:00.000Z,Clara Shaw,93.82,72.84,20.98
2007-02-01T00:00:00.000Z,Curtis Irby,22.94,,
2007-03-01T00:00:00.000Z,Curtis Irby,86.83,22.94,63.89
2007-04-01T00:00:00.000Z,Curtis Irby,54.86,86.83,-31.97
2007-05-01T00:00:00.000Z,Curtis Irby,2.99,54.86,-51.87
2007-02-01T00:00:00.000Z,Eleanor Hunt,22.95,,
2007-03-01T00:00:00.000Z,Eleanor Hunt,87.82,22.95,64.87
2007-04-01T00:00:00.000Z,Eleanor Hunt,100.78,87.82,12.96
2007-02-01T00:00:00.000Z,Karl Seal,41.91,,
2007-03-01T00:00:00.000Z,Karl Seal,76.87,41.91,34.96
2007-04-01T00:00:00.000Z,Karl Seal,89.80,76.87,12.93
2007-02-01T00:00:00.000Z,Marcia Dean,37.92,,
2007-03-01T00:00:00.000Z,Marcia Dean,53.90,37.92,15.98
2007-04-01T00:00:00.000Z,Marcia Dean,73.80,53.90,19.90
2007-05-01T00:00:00.000Z,Marcia Dean,0.99,73.80,-72.81
2007-02-01T00:00:00.000Z,Marion Snyder,44.92,,
2007-03-01T00:00:00.000Z,Marion Snyder,58.88,44.92,13.96
2007-04-01T00:00:00.000Z,Marion Snyder,85.82,58.88,26.94
2007-05-01T00:00:00.000Z,Marion Snyder,4.99,85.82,-80.83
2007-02-01T00:00:00.000Z,Rhonda Kennedy,19.96,,
2007-03-01T00:00:00.000Z,Rhonda Kennedy,74.85,19.96,54.89
2007-04-01T00:00:00.000Z,Rhonda Kennedy,96.81,74.85,21.96
2007-02-01T00:00:00.000Z,Tammy Sanders,29.95,,
2007-03-01T00:00:00.000Z,Tammy Sanders,39.89,29.95,9.94
2007-04-01T00:00:00.000Z,Tammy Sanders,70.80,39.89,30.91
2007-05-01T00:00:00.000Z,Tammy Sanders,8.97,70.80,-61.83
2007-02-01T00:00:00.000Z,Tommy Collazo,25.93,,
2007-03-01T00:00:00.000Z,Tommy Collazo,67.88,25.93,41.95
2007-04-01T00:00:00.000Z,Tommy Collazo,89.82,67.88,21.94
2007-02-01T00:00:00.000Z,Wesley Bull,10.98,,
2007-03-01T00:00:00.000Z,Wesley Bull,66.85,10.98,55.87
2007-04-01T00:00:00.000Z,Wesley Bull,80.82,66.85,13.97
