pay_month,full_name,pay_countpermonth,pay_amount
2007-02-01T00:00:00.000Z,Clara Shaw,252,$963.48
2007-03-01T00:00:00.000Z,Clara Shaw,672,$3059.28
2007-04-01T00:00:00.000Z,Clara Shaw,756,$3940.44
2007-02-01T00:00:00.000Z,Curtis Irby,228,$871.72
2007-03-01T00:00:00.000Z,Curtis Irby,646,$3299.54
2007-04-01T00:00:00.000Z,Curtis Irby,532,$2084.68
2007-05-01T00:00:00.000Z,Curtis Irby,38,$113.62
2007-02-01T00:00:00.000Z,Eleanor Hunt,230,$1055.70
2007-03-01T00:00:00.000Z,Eleanor Hunt,828,$4039.72
2007-04-01T00:00:00.000Z,Eleanor Hunt,1012,$4635.88
2007-02-01T00:00:00.000Z,Karl Seal,405,$1885.95
2007-03-01T00:00:00.000Z,Karl Seal,585,$3459.15
2007-04-01T00:00:00.000Z,Karl Seal,900,$4041.00
2007-02-01T00:00:00.000Z,Marcia Dean,336,$1592.64
2007-03-01T00:00:00.000Z,Marcia Dean,420,$2263.80
2007-04-01T00:00:00.000Z,Marcia Dean,840,$3099.60
2007-05-01T00:00:00.000Z,Marcia Dean,42,$41.58
2007-02-01T00:00:00.000Z,Marion Snyder,312,$1751.88
2007-03-01T00:00:00.000Z,Marion Snyder,468,$2296.32
2007-04-01T00:00:00.000Z,Marion Snyder,702,$3346.98
2007-05-01T00:00:00.000Z,Marion Snyder,39,$194.61
2007-02-01T00:00:00.000Z,Rhonda Kennedy,156,$778.44
2007-03-01T00:00:00.000Z,Rhonda Kennedy,585,$2919.15
2007-04-01T00:00:00.000Z,Rhonda Kennedy,741,$3775.59
2007-02-01T00:00:00.000Z,Tammy Sanders,205,$1227.95
2007-03-01T00:00:00.000Z,Tammy Sanders,451,$1635.49
2007-04-01T00:00:00.000Z,Tammy Sanders,820,$2902.80
2007-05-01T00:00:00.000Z,Tammy Sanders,123,$367.77
2007-02-01T00:00:00.000Z,Tommy Collazo,266,$985.34
2007-03-01T00:00:00.000Z,Tommy Collazo,456,$2579.44
2007-04-01T00:00:00.000Z,Tommy Collazo,684,$3413.16
2007-02-01T00:00:00.000Z,Wesley Bull,80,$439.20
2007-03-01T00:00:00.000Z,Wesley Bull,600,$2674.00
2007-04-01T00:00:00.000Z,Wesley Bull,720,$3232.80
